Source,Source File,Table,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,Gap,Findings 
CMS,ResDAC,bcarrier_claims,ACO_ID_NUM,N/A,Claim Accountable Care Organization (ACO) Identification Number,varchar,,,,,,,,,10,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,ALOWCHRG,N/A,NCH Carrier Claim Allowed Charge Amount (sum of all line-level allowed charges),decimal,,,,,,,,,12,,2,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,ASGMNTCD,N/A,Carrier Claim Provider Assignment Indicator Switch,varchar,,,,,,,,,1,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,BENE_ID,N/A,Encrypted CCW Beneficiary ID,varchar,,,,,,,,,15,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,BENE_PMT,N/A,NCH Claim Payment Amount to Beneficiary,decimal,,,,,,,,,12,,2,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CARR_CLM_BLG_NPI_NUM,N/A,Carrier Claim Site of Service NPI Number,varchar,,,,,,,,,10,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CARR_CLM_SOS_NPI_NUM,N/A,Carrier Claim Site of Service NPI Number,varchar,,,,,,,,,10,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CARR_NUM,N/A,Carrier or MAC Number,varchar,,,,,,,,,5,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CCLTRNUM,N/A,Clinical Trial Number,varchar,,,,,,,,,8,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CLM_BENE_ID_TYPE_CD,N/A,Claim Beneficiary Identifier Type Code (For CMS Internal Use),varchar,,,,,,,,,1,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CLM_BENE_PD_AMT,N/A,Carrier Claim Beneficiary Paid Amount,decimal,,,,,,,,,12,,2,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CLM_ID,N/A,Claim ID,varchar,,,,,,,,,15,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
CMS,ResDAC,bcarrier_claims,CLM_RSDL_PYMT_IND_CD,N/A,Claim Residual Payment Indicator Code,varchar,,,,,,,,,1,,,,,,,N,HAP_UH - CMS ResDAC ICD Document
