TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
DC,DC000,varchar(64),varchar,64,HHDC Beneficiary ID,Beneficiary ID defined and maintained by HHDC
DC,DC000A,varchar(64),varchar,64,HHDC Beneficiary Hash ID,Hash of all of the data elements used for member matching
DC,DC001,char(6),char,6,Submitter,Submitter ID. Report the SHPDA defined and maintained unique identifier. This must match the Submitter ID reported in HD002.
DC,DC002,int,int,,Health Plan ID,"CMS Health Plan ID (HPID). Do not report any value here until HPID is fully implemented. This is a unique identifier as outlined by the Centers for Medicare and Medicaid Services (CMS) for Plans or Sub plans. When implemented, this must match the CMS Health Plan ID reported in HD003."
DC,DC003,char(2),char,2,Insurance Type Code / Product,"Insurance Type / Product Identification Code. Report the code that defines the type of insurance under which this Member's claim line was processed.

EXAMPLE: 17 = Dental Maintenance Organization.

"
DC,DC004,varchar(35),varchar,35,Payer Claim Control Number,Payer Claim Control Number. Report the unique identifier used internally by the Reporter to track the claim. This number must apply to the entire claim.
DC,DC005,varchar(4),varchar,4,Line Counter,Service Line Number. Report the line number for this service within the claim. The Line Counter begins with 1 and is incremented by 1 for each additional service line of a claim. Do not start with 0 or include alphas or special characters.
DC,DC005A,varchar(4),varchar,4,Version Number,Line Version Number. Report the version number of this claim service line. The version number begins with 0 and is incremented by 1 for each subsequent version of that service line.
DC,DC006,varchar(30),varchar,30,Insured Group or Policy Number,Insured Group / Policy Number. Report the insured group or policy number associated with the group who has purchased the insurance. Do not report the number that uniquely identifies the Subscriber or Member.
DC,DC007,int,int,,Subscriber SSN,Subscriber's Social Security Number. Report the Subscriber's 9-digit SSN here. Do not use hyphen.
DC,DC008,varchar(30),varchar,30,Plan Specific Contract Number,Plan Specific Contract Number. Report the Reporter-assigned contract number for the Subscriber. Do not include values in this element that will distinguish one Member of the family from another. This should be the contract number for the Subscriber and all of the dependents.
DC,DC009,varchar(20),varchar,20,Member Suffix or Sequence Number,Member's Sequence Number. Report the unique number of the Member within the contract.
DC,DC010,int,int,,Member SSN,Member's Social Security Number. Report the Member's 9-digit SSN. Do not use hyphen.
DC,DC011,char(2),char,2,Individual Relationship Code,Individual Relationship Code. Report the value that defines the Member's relationship to the Subscriber.
DC,DC012,char(1),char,1,Member Gender,"Member's Gender. Report the Member's gender as found on the claim in alpha format.
EXAMPLE: F = Female."
DC,DC013,int,int,,Member Date of Birth,Member's Date of Birth. Report the date of birth of the Member in CCYYMMDD format.
DC,DC014,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
DC,DC015,char(2),char,2,Member State,Member's State / Province. Report the State of the Member's residence using the two-character abbreviation as defined by the United States Postal Service. 
DC,DC016,varchar(9),varchar,9,Member Zip Code,Member's Zip Code. Report the 5- or 9-digit Zip Code of the Member's residence as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
DC,DC017,int,int,,Date Service Approved (AP Date),"Date Service Approved by Payer. Report the date that the payer approved this claim line for payment in CCYYMMDD format. This element was designed to capture date other than the Paid Date. If Approved Date and Paid Date are the same, then the date here should match Paid Date reported in DC045."
DC,DC018,varchar(30),varchar,30,Service Provider Number,"Service Provider's Identification Number. Report the Reporter assigned, unique Service Provider identification number used internally by the Reporter."
DC,DC019,int,int,,Service Provider Tax ID Number,Service Provider's EIN / Federal Tax ID Number. Report the EIN / Federal Tax ID of the Service Provider. Do not use hyphen or alpha prefix.
DC,DC020,int,int,,Service Provider NPI,Service Provider's National Provider Identifier. Report the National Provider Identifier (NPI) of the Service Provider. 
DC,DC021,int,int,,Service Provider Entity Type Qualifier,"Service Provider's Entity Type Qualifier Code. Report the value that defines the provider entity type. Individuals should be identified with a 1; facilities, professional groups, and clinic sites should all be identified with a 2.
EXAMPLE: 1 = Person.
"
DC,DC022,varchar(25),varchar,25,Service Provider First Name,"Service Provider's First Name. Report the Service Provider's first name. If the Service Provider is a facility or organization, do not report any value here. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
DC,DC023,varchar(25),varchar,25,Service Provider Middle Name,"Service Provider's Middle Name or Initial. Report the Service Provider's middle name or initial. If the Service Provider is a facility or organization, do not report any value here. If Service Provider's middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
DC,DC024,varchar(60),varchar,60,Service Provider Last Name or Organization Name,"Service Provider's Last Name or Organization Name. Report the name of the organization or the Service Provider's last name. DC021 determines if an Organization or Service Provider's name is reported here. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
DC,DC025,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
DC,DC025A,int,int,,Service Provider Suffix,"Service Provider's Name Suffix. Report the Service Provider's name-suffix when applicable here. Used to capture the generation of the individual clinician (e.g., Jr. Sr., III). Do not report degree acronyms here.

EXAMPLE: 4 = Jr."
