Table Name,Column,Description,Data Type,Max Length,Ordinal Position
AddressType,AddressTypeID,Address Type Identifier,int,,1
AddressType,AddressTypeDesc,Short description / acronym of the type of address,varchar,255,2
AddressType,AddressTypeLongDesc,Full description of the type of address,varchar,255,3
AddressType,IsActive,Flag to indicate whether the address type is active. ,bit,,4
DeferralReasons,ID,Deferral Reasons Identifier,int,,1
DeferralReasons,Reason,Description of the deferral reason,varchar,200,2
DenialReasons,ID,Denial Reason Identifier,int,,1
DenialReasons,Reason,Description of the denial reason,varchar,200,2
Facility,FacilityID,Facility Identifier,int,,1
Facility,FacilityDesc,Description of the facility,varchar,255,2
Facility,FacilityType,Description of the facility type,varchar,32,3
Facility,FacilityNumber,Facility Number,varchar,32,4
Facility,FacilityPhone,Phone number of the facility,varchar,24,5
Facility,FacilityFax,Fax number of the facility,varchar,24,6
Facility,FacilityAddress,Address of the facility,varchar,255,7
Facility,FacilityGroupID,Facility Group  identifer,int,,8
Facility,IsActive,Flag to indicate whether the facility is active,bit,,9
FunctionalStatusRating,Rating,Functional Status Rating Identifier,int,,1
FunctionalStatusRating,RatingType,Category of the functional assessment,varchar,32,2
FunctionalStatusRating,RatingDesc,Description of the functional assessment,varchar,255,3
FunctionalStatusRating,_AdjustedRatingValue,The score assigned to the selected functional assessment,int,,4
LevelOfCare,LevelOfCareID,Level of Care Identifier,int,,1
LevelOfCare,LevelOfCareDesc,Description of the level of care,varchar,255,2
LevelOfCare,IsSection14Only,Flag used to identify whether the level of care is applicable to Section 14 only. ,bit,,3
ManagedCarePlan,ManagedCarePlanID,Managed Care Plan Identifier,int,,1
ManagedCarePlan,ManagedCarePlanDesc,Description of the managed care plan,varchar,255,2
ManagedCarePlan,SortOrder,Identifies the order the plans are displayed in the dropdown,int,,3
ManagedCarePlan,IsActive,Flag to indicate whether the managed care plan is active. ,bit,,4
ManagedCarePlan,ManagedCarePlanGroupID,Not used,int,,5
MQDLogFiles,MQDFileId,MQD Log File GUID (Globally Unique Identifier),uniqueidentifier,,1
MQDLogFiles,FileName,"The name of the file, including folder path",varchar,255,2
MQDLogFiles,CreatedDate,The date the file was created,datetime,,3
Physician,PhysicianID,Physician Identifier  - The physician table is no longer used. Last reference point it was used was around 2017. ,int,,1
Physician,LastName,Last name of the physician,varchar,50,2
Physician,FirstName,First name of the physician,varchar,50,3
Physician,MI,Middle initial of the physician,varchar,1,4
Physician,PIN,Not Used,varchar,32,5
