Source,Source File,Table Name,Column Name,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Percision,Comment,Valid Values,Logic,Column Order,Lineage,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping ,HPMMIS RF screen,Medicare Field Name 837I Detail,837 I Claim Header Indicator,837 P Claim Detail Indicator,837 P Claim Header Indicator,Loop #,Element #,Element Description,837 I Claim Detail Indicator,837 I Claim Header Indicator,837 P Claim Detail Indicator,837 P Claim Header Indicator
HPMMIS,Encounters,T_EC_DNT_CLM,ACC_DAT,Accident Date,Date of claim for accident reported,DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Encounters,T_EC_DNT_CLM,ACCI_CAR_IND,Accident - Car Indicator,Indicates whether the member is seeing a provider due to a car accident,CHAR,,Y,, , , , ,,,1,,,,"Y, N","When CLM11-1 or 2 = ""AA"" (Auto accident) 
  Or ""OA"" (Other Accident) 
   Move ""Y"" to ACCI-CAR-IND ",,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Encounters,T_EC_MED_CLM,ACCI_CAR_IND,Accident - Car Indicator,Indicates whether the member is seeing a provider due to a car accident,CHAR,,Y,,,,,,,,1,,,,"Y, N","When CLM11-1 or 2 = ""AA"" (Auto accident) 
  Or ""OA"" (Other Accident) 
   Move ""Y"" to ACCI-CAR-IND ",,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Encounters,T_EC_DNT_CLM,ACCI_OTHR_IND,Accident - Other Indicator,Indicates whether the member is seeing a provider for some other type of accident,CHAR,,Y,, , , , ,,,1,,,,"Y, N",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Encounters,T_EC_MED_CLM,ACCI_OTHR_IND,Accident - Other Indicator,Indicates whether the member is seeing a provider for some other type of accident,CHAR,,Y,,,,,,,,1,,,,"Y, N",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE,ACCID_ANTP,,Another Party Responsible - Other party liability flag,VARCHAR,,Y,, , , , ,,,1,,,,"Y, N ",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACCID_ANTP,,ACCIDENT ANTICIPATED,CHAR,,,,,,,,,,,,,,"Y,N",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE,ACCID_CAR,Accident Car,Indicates if accident involved a car. ,VARCHAR,,Y,, , , , ,,,1,,,Note: This is limited to Form HCFA 1500,"Y, N ",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACCID_CAR,,ACCIDENT IN CAR,CHAR,,,,,,,,,,1,,,,"M,N,X,Y",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE,ACCID_DATE,Accident Date,Date of the accident reported,DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACCID_DATE,,ACCIDENT DATE,DATE,,,,,,,,,,,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE,ACCID_EMP,Accident Employer,The Employer of  the claim submitter  (OR: Did accident occur at work),VARCHAR,,Y,, , , , ,,,1,,,Note: This is limited to Form HCFA 1500,"Y, N ",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACCID_EMP,,ACCIDENT EMPLOYEE RELATED,VARCHAR,,,,,,,,,,1,,,,"1,2,5,B,J,Y,X,N,M",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE,ACCID_OTH,Accident Other,Other type of accident beyond car or work place,VARCHAR,,Y,, , , , ,,,1,,,Note: This is limited to Form HCFA 1500,"Y, N ",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACCID_OTH,,OTHER TYPE OF ACCIDENT,VARCHAR,,,,,,,,,,1,,,,"1,3,7,9,M,N,X,Y",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE,ACCID_ST,,Accident State,VARCHAR,,Y,, , , , ,,,2,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACCID_ST,,ACCIDENT STATE,CHAR,,,,,,,,,,,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Encounters,T_EC_MED_CLM,ACCIDENT_DATE,Accident Date,Date of claim for accident reported,DATE,YYYYMMDD,Y,,,,,,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,C&E,T_FI_PAYMENT,ACCT_NO,,Account Number,CHAR,,Y,,,,,,,,9,,,,Is Blank,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Encounters,T_EC_FACL_CLM,ACOM_DA,Accommodation Days,Facility Accommodation Days,NUMBER,,Y,,,,,,,,22,,,,Live Data Transmission,,,,Y,"No specific ""Description"" information found in documentation, inferred from similar information in 837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls; MQD business confirmed current definition while under review.",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACT_CD,,Claim Action Code,CHAR,,,,,,,,,,1,,,,"A,R,V",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_WORK_ACTION,ACT_DAT,,Claim Action Date,DATE,YYYYMMDD,Y,Yes, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_SERVICE_IP,ACT_RSN,,Claim Action Reason,VARCHAR,,,,,,,,,,5,,,,"EJ100, EV100",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,C&E,T_PEND_AUD_SEQ,ACTION,,Pending Action Code,CHAR,,,,,,,,,,1,,,,Live Data Transmission,,,,y,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTION,ACTION_CD,,Claim Action code,CHAR,,Y,, , , , ,,,4,,,,"A119, A197, 0224, 1126, 0215, 0788, 0824, 1491, 1934, 0061, 0954, 1351, 1636, 1045, 0043, 0101, 1068, 1813, B629, 1187",,,,Y,"No specific ""Description"" information found in documentation, inferred from similar information in 837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls; MQD business confirmed current definition while under review.",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTION,ACTION_FUNC,,Claim Action Function,CHAR,,Y,, , , , ,,,2,,,,"07, 12, 04, 11, 02, 03, 08, 06, 01",,,,Y,"No specific ""Description"" information found in documentation, inferred from similar information in 837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls; MQD business confirmed current definition while under review.",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTION,ACTION_GRP,,Claim Action Group,CHAR,,Y,, , , , ,,,3,,,,"029, 216, 011, 032, 114, 188, 207, 020, 012, 009, 015, 126, 037, 021, 186, 003, 213, 002, 231, 028",,,,Y,"No specific ""Description"" information found in documentation, inferred from similar information in 837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls; MQD business confirmed current definition while under review.",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTION,ACTIVE_DATE,,Claim Active Date,DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,Y,"No specific ""Description"" information found in documentation, inferred from similar information in 837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls; MQD business confirmed current definition while under review.",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTIVITY,ACTVTY_CD,,"This field contains the HCPCS or NDC submitted on the encounter or claim. For a HCFA 1500 HCPCS the display will be in the first five (5) positions of this field, for Form C (Universal Drug Form) the display will be the entire eleven (11) positions of the field",VARCHAR,,Y,, , , , ,,,22,,,"Note: There is no Revenue Code or HCPCS display for UB92. If project requires data on UB92 line Revenue Codes or associated HCPCS, then must read the appropriate database or archive file for this information.",Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTIVITY_IP,ACTVTY_CD,,Claim Activity code,VARCHAR,,Y,, , , , ,,,11,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_PA_ACTVTY_AUDIT_PWX,ACTVTY_LN_NO,,Activity Line Number,CHAR,,Y,, , , , ,,,2,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_PA_TRIP,ACTVTY_LN_NO,,Activity Line Number,VARCHAR,,Y,, , , , ,,,2,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTIVITY,ACTVTY_TYP,,Claim Activity Type,CHAR,,Y,, , , , ,,,2,,,"Note: There is no Revenue Code or HCPCS display for UB92. If project requires data on UB92 line Revenue Codes or associated HCPCS, then must read the appropriate database or archive file for this information","H - HCPCS, P - NDC (Pharmacy",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTIVITY_IP,ACTVTY_TYP,,Claim Activity Type,CHAR,,Y,, , , , ,,,1,,,,"X, H, R",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,C&E,T_CMS6421_RECON_DTL_STG,ACU_LTC,,Fee Index payment for Acute Long Term Care,VARCHAR,,Y,,,,,,,,1,,,,"A, X, Q",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,C&E,T_FI_PAYMENT,ACUTE_LTC,,Fee Index payment for Acute Long Term Care,CHAR,,Y,,,,,,,,1,,,,"D, A, S",,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_WORK_ACTION,ADD_DAT,,Claim Added Date,DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTION,ADD_DATE,Date Record Added,"The date the record was added to HPMMIS. Display format is MMM DD, YYYY where MMM is a 3 character abbreviation for the month, DD is a one or two digit number of the day, and YYYY is a four digit year.",DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_ACTV_STA,ADD_DATE,Date Record Added,"The date the record was added to HPMMIS. Display format is MMM DD, YYYY where MMM is a 3 character abbreviation for the month, DD is a one or two digit number of the day, and YYYY is a four digit year.",DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_DIAG,ADD_DATE,Date Record Added,"The date the record was added to HPMMIS. Display format is MMM DD, YYYY where MMM is a 3 character abbreviation for the month, DD is a one or two digit number of the day, and YYYY is a four digit year.",DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_MODIFIER,ADD_DATE,Date Record Added,"The date the record was added to HPMMIS. Display format is MMM DD, YYYY where MMM is a 3 character abbreviation for the month, DD is a one or two digit number of the day, and YYYY is a four digit year.",DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
HPMMIS,Claims,T_CL_PROVIDER,ADD_DATE,Date Record Added,"The date the record was added to HPMMIS. Display format is MMM DD, YYYY where MMM is a 3 character abbreviation for the month, DD is a one or two digit number of the day, and YYYY is a four digit year.",DATE,YYYYMMDD,Y,, , , , ,,,7,,,,Live Data Transmission,,,,,"AHCCCS Claims and Encounters Data Dictionary Shell 04-01-2022,      837 I Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls, 837 D Translator Specs 5010V3.xls, 837 P Translator Specs 5010V2.xls",HPMMIS,ODS_HI,,,,,,,,,,,,,
