Source,Source File,Table Name,Column,Column Alias (Common Name),for RT,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Gaps,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping 
HPMMIS,Provider ,T_PR_ADDR_ID,ADDR_MATCH_CODE,Geocoding Address Match Code,,Contains high-level information about non-valid address elements in an address. The code describes the validation issues that affect address records with a Match Code status in the range I1 through I4 indicate that an address is invalid.,VARCHAR ,,Y,,,NA,NA,,,,,10,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,ADDR_MATCH_DESC,Geocoding Address Match Description,,Text description of the Geocoding Address Match Code.,VARCHAR ,,Y,,,NA,NA,,,,,256,,,,Live Data Transfer,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,ADDR_TYP,Address Type,,This address type has 3 values,CHAR,,N,PK,FK,T_CDE_PROV_ADDR_TYPE,ADDR_TYP,,,,,1,,,,"S = Servicing Address, P = Pay To Address, or C = Correspondence Address.",,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,ATTN,Attention to,,Contact name of person or department for the location.,CHAR,,Y,,,NA,NA,,,,,25,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,BUS_PHO,Business Phone Number,,Business Phone Number,CHAR,##########,Y,,,NA,NA,,,,,10,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,CITY,City/Town ,,The name of a city or a town. ,VARCHAR ,,Y,,,NA,NA,,,,,50,,,,Live Data Transmision,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,COUNTY,Geocoding Address County,,The County value as defined by the AddressDoctor application using the geocoded information.,CHAR,,Y,,FK,T_CDE_COUNTY,COUNTY_CD,,,,,2,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,CTRY,Country,,"Country Codes; 01 UNITED STATES OF AMERICA, 02   MEXICO, 03 Canada, 99 Other ",CHAR,,Y,,FK,T_CDE_COUNTRY,COUNTRY_CD,,,,,2,,,,"99, 01",,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,CTY,County,,County,CHAR,,Y,,FK,T_CDE_COUNTY,COUNTY_CD,,,,,2,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,CURRENT_IND,Current Indicator,,Indicates information is current or not.,CHAR,,Y,,FK,NA,NA,,,,,1,,,,"Y, N",,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,DAT_REC_ADDED,Record Added Date ,,The original date for when the address was added to the table.,DATE,MMMDDYYYY,Y,,,NA,NA,,,,,7,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,E_MAIL_ADDR,Email Address,,Provider or contact for the provider email address.,CHAR,XXX#@XXX.COM,Y,,,NA,NA,,,,,60,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,E_MAIL_IND,Email Indicator,,"Y = yes or N = no; file use or to receive notification of fee at registration, if applicable.",CHAR,,Y,,FK,NA,NA,,,,,1,,,,"Y, N",,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,EFF_BEG_DAT,Effective Begin Date ,,The begin date for when the location is valid.,DATE,MMMDDYYYY,Y,,,NA,NA,,,,,7,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,EFF_END_DAT,Effective End Date ,,The date for when the location is no longer valid.,DATE,MMMDDYYYY,Y,,,NA,NA,,,,,7,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,EMG_PHO,Emergency Phone Number,,Emergency Phone Number,CHAR,##########,Y,,,NA,NA,,,,,10,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,EMPR_TAX_ID,Employer Tax Identification ,,EIN or SSN used when submitting claims.,CHAR,#################,Y,,,NA,NA,,,,,20,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,FAX_IND,Fax back verification,,Y = yes or N = no; not used for PRS purposes.,CHAR,,Y,,FK,NA,NA,,,,,1,,,,"Y, N",,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,FAX_PHO,Fax Phone Number,,Fax Phone Number,CHAR,##########,Y,,,NA,NA,,,,,10,,,,Live Data Transmission ,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,GEO_ADDR_CITY,Geocoding Address City,,Geocoding takes the Provider's fixed address and converts it to the proper USPS formatting to City.,VARCHAR ,,Y,,,NA,NA,,,,,50,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,GEO_ADDR_ST,Geocoding Address State,,Geocoding takes the Provider's fixed address and converts it to the proper USPS formatting to State,CHAR,,Y,,,NA,NA,,,,,2,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
HPMMIS,Provider ,T_PR_ADDR_ID,GEO_ADDR_STR1,Geocoding Address Street 1,,Geocoding takes the Provider's fixed address and converts it to the proper USPS formatting to Address Street 1.,VARCHAR ,,Y,,,NA,NA,,,,,100,,,,Live Data Transmission,,No,AHCCCS Provider Data Dictionary - Shell 2.14.22 as of 5.02.22 (2).xlsx ,,,
