Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,GAP,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping ,for RT
HPMMIS,Recipient,T_RP_INS_CVG,ABS_PAR_IND,Absent Parent indicator,Absent Parent indicator,CHAR,,Y,,,,,,,1,,,,"Y - Yes
N - No",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,Absent Parent indicator
HPMMIS,Recipient,T_RP_ELG_ID,ACT_INEL_DAT,,The date the eligibility agency says that the recipient was actually ineligible.  Not necessarily the same as effective eligibility end date or eligibility end date.,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_PMT,ACT_PMT_DAT,,The date of the actual payment.,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_HI834_MONTHLY_ROSTER,ACT_TYP,,"Code indicating action type of add, change, or delete/disenroll. Code identifying a specific type of item maintenance. ",CHAR,,Y,,,,,,,1,,,,"A=Add, C=Change, D=Delete",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_HI834_MONTHLY_ROSTER,ACTION_CD,,"Action codes are included on the daily 834 to provide the health plans with additional transaction information. Identifies, in general, the reason the client is being added to the plan’s membership. Action codes identify the type of information that has been changed. Identifies, in general,
the reason the client is being disenrolled from the plan’s membership. ",VARCHAR2,,Y,,,,,,,2,,,,Is Blank,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ENROLLED_MEMMONTHS,ACUTE_LTC_IND,,Acute Long Term Care Indicator,CHAR,,,,,,,,,1,,,,"l, a",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_AFL_MQD_SPEC,ADD_DATE,,The date the record was added.,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_HI834_MONTHLY_ROSTER,ADD_DATE,,The date the record was added.,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_CASE_PWX,ADD_DATE,,The date the record was added.,DATE,mmmddyyyy,,,,,,,,,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_LTC_ELG,ADD_DATE,,The date the data for the recipient's LTC eligibility was first added to the AHCCCS system.,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_RACE,ADD_DATE,,The date the data for the recipient's race was first added to the database.,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_LTC_ELG,ADD_TIME,,The time that the record was added.,CHAR,#########,Y,,,,,,,8,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_CITY,,City for the recipient,VARCHAR2,xxxxxxxxx,Y,,,,,,,50,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_CTRY,,County  for the recipient,CHAR,,Y,,,,,,,2,,,,"01 - UNITED STATES OF AMERICA
02 - MEXICO
03 - CANADA
99 - OTHER ",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_CTY,,City for the recipient,CHAR,,Y,,,,,,,2,,,,"01 - OAHU
04 - KAUAI
05 - HAWAII
07 - MAUI
08 - MOLOKAI
09 - LANAI
31 - OUT OF STATE
33 - OUT OF COUNTRY
97 - STATEWIDE DENTAL PRICING (PRIMARY)
97 - DESCRIPTION TO BE ADDED_A
97 - STATEWIDE DENTAL PRICING (SECONDARY)
98 - STATEWIDE DENTAL PRICING (SECONDARY)
98 - DESCRIPTION TO BE ADDED_B
98 - STATEWIDE DENTAL PRICING (PRIMARY)
99 - STATEWIDE ",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ADDR_ID,ADDR_EFF_DAT,,Effective begin date for the address change,DATE,mmmddyyyy,N,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ADDR_ID,ADDR_END_DAT,,Term end date for the address change,DATE,mmmddyyyy,Y,,,,,,,7,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_MATCH_CODE,,Recipient Address Correction Code,VARCHAR2,,Y,,,,,,,10,,,,"No RF screen; There is not field on HPMMIS Database
C2
C3
C4
I1
I2
I3
V3
V3",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ADDR_ID,ADDR_MATCH_CODE,,Recipient Address Correction Code,VARCHAR2,,Y,,,,,,,10,,,,"No RF screen; There is not field on HPMMIS Database
C2
C3
C4
I1
I2
I3
V3
V4",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_MATCH_DESC,,Recipient Address Correction Description,VARCHAR2,xxxxxxx,Y,,,,,,,256,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ADDR_ID,ADDR_MATCH_DESC,,Recipient Address Correction Description,VARCHAR2,xxxxxxx,Y,,,,,,,256,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_ST,,Street Address for the recipient,CHAR,xx ,Y,,,,,,,2,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_STR1,,Alternate Street Address for the recipient,VARCHAR2,#### XXXX,Y,,,,,,,100,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_STR2,,Alternate Street Address for the recipient,VARCHAR2,#### XXXX,Y,,,,,,,100,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ADDR_ID,ADDR_TYP,,This identifies physical vs nonphysical address for a member. Values are H-Home and M-Mailing ,CHAR,,N,,FK,T_CDE_ADDR_TYPE.ADDR_TYP,,,,1,,,,"H - Home
M - Mailing",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_ZIP_4,,Alternate Zip Code for the recipient address,CHAR,####,Y,,,,,,,4,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,ADDR_ZIP_5,,Alternate Zip Code for the recipient address,CHAR,#####,Y,,,,,,,5,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_SOC,ADJ_SOC_AMT,,Adjusted start of care amount,NUMBER,###.##,Y,,,,,,,22,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_CHIP_CARTS_ENRL_STAGE,AGE,,Age of the recipient,NUMERIC,XX,,,,,,,,22,,0,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
