Source,Source File             (Filter TMSIS v3.0 for most recent version),Table Name,Column Name,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,History,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment (CMS-TMSIS Requirements),Logic ,Valid Values,Column Order,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping ,Necessity,Digital File Code,File Segment,DE Number,Version ,Version Notes,Validation between mapping and TMSIS data guide,Validation II,Data Source Type,State Data Source Name,State Data Element Mapping,Logic from Mapping document,checker 1
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,RECORD-ID,Record ID,"The Record ID represents the type of segment being reported.  The Record ID communicates how the contents of a 
given row of data should be interpreted depending on which segment type the Record ID represents.  Each type of 
segment collects different data elements so each segment type has a distinct layout. The first 3 characters identify 
the relevant file (e.g., ELG, PRV, CIP, etc.). The last 5 digits are the segment identifier padded with leading zeros (e.g., 
00001, 00002, 00003, etc.).",Varchar,,,,,,,,,1,8,X(8),,,"1. Mandatory
2. Value must be 8 characters
3. Value must be in Record ID List (VVL)
4. Value must equal ""CIP00001""","""CIP00001""

Read and select all DW-COMMON-S Encounter and Claim records with: 
  (1) FORM-TYP EQ ""I""
      -OR-
      FORM-TYP EQ ""O"" AND CLM-COS EQ ""20""
  (2) STA-EFF-DAT within the reporting month
",CIP00001,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP001,V3,No Change,CIP001,TRUE,Other System,0,N/A,"""CIP00001""

Read and select all DW-COMMON-S Encounter and Claim records with: 
  (1) FORM-TYP EQ ""I""
      -OR-
      FORM-TYP EQ ""O"" AND CLM-COS EQ ""20""
  (2) STA-EFF-DAT within the reporting month
",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,DATA-DICTIONARY-VERSION,Data Dictionary Version,"A data element to capture the version of the T-MSIS data dictionary that was used to build the file. Use the version number specified on the Cover Sheet of the data dictionary"".",Varchar,,,,,,,,,9,18,X(10),,,"1. Value must be 10 characters or less
2. Value must not include the pipe (""|"") symbol
3. Mandatory","""NOV13V1.1""
",NOV13V1.1,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,RFGT6RC,TBL-DESC,Mandatory,CI,Claim Impatient,CIP002,V3,No Change,CIP002,TRUE,MMIS,RFGT6RC,TBL-DESC,"""NOV13V1.1""
",TRUE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,SUBMISSION-TRANSACTION-TYPE,Submission Transaction Type,"A data element to identify the whether the transactions in the file are original submissions of the data, a resubmission of a previously submitted file, or corrections of edit rejects.",Char,,,,,,,,,19,19,X(1),,,"1. Value must be in Submission Transaction Type List (VVL)
2. Value must be 1 character
3. Mandatory","""C"" = Create File
""R"" = Replace File
passed in run parameter.","C, R, U",,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP003,V3,No Change,CIP003,TRUE,Other System,0,N/A,"""C"" = Create File
""R"" = Replace File
passed in run parameter.",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,FILE-ENCODING-SPECIFICATION,File Encoding Specification,Denotes which supported file encoding standard was used to create the file.,Char,,,,,,,,,20,22,X(3),,,"1. Value must be in File Encoding Specification List (VVL)
2. Value must be 3 characters
3. Mandatory","""FLF""
","FLF, PSV",,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP004,V3,No Change,CIP004,TRUE,Other System,0,N/A,"""FLF""
",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,DATA-MAPPING-DOCUMENT-VERSION,Data Mapping Document Version,Identifies the version of the T-MSIS data mapping document used to build a state submission file. Use the version number specified on the title page of the data mapping document,Char,,,,,,,,,23,31,X(9),,,"1. Value must be 9 characters or less
2. Mandatory","Populate based on when the mapping document was last approved (e.g. ""MAY14V1.0"")
",MAY14V1.0,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,RFGT6RC,TBL-DESC,Mandatory,CI,Claim Impatient,CIP005,V3,No Change,CIP005,TRUE,MMIS,RFGT6RC,TBL-DESC,"Populate based on when the mapping document was last approved (e.g. ""MAY14V1.0"")
",TRUE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,FILE-NAME,File Name,"A code to identify the subject area to which the records in its file relate. Each T-MSIS submission file should only 
contain records for one subject area (i.e., Eligible, Third-party liability, Provider, Managed Care Plan Information, 
Inpatient, Long-Term Care, Other, and Pharmacy Claim).",Char,,,,,,,,,32,39,X(8),,,"1. Value must equal 'CLAIM-IP'
2. Mandatory",CLAIM-IP,CLAIM-IP,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP006,V3,No Change,CIP006,TRUE,Other System,0,N/A,CLAIM-IP,FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,SUBMITTING-STATE,Submitting State,A code that uniquely identifies the U.S. State or Territory from which T-MSIS system data resources were received.,Varchar,,,,,,,,,40,41,X(2),,,"1. Value must be in State Code List (VVL)
2. Value must be 2 characters
3. Mandatory",15 = Hawaii - ANSI State Code - See RF979,CSMO code Value,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,RFGT2RC,TBL-DESC,Mandatory,CI,Claim Impatient,CIP007,V3,No Change,CIP007,TRUE,MMIS,RFGT2RC,TBL-DESC,15 = Hawaii - ANSI State Code - See RF979,TRUE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,DATE-FILE-CREATED,Date File Created,The date on which the file was created.,Date,CCYYMMDD,,,,,,,,42,49,9(8),,,"1. Value of the CC component must be ""20""
2. Value must be 8 characters in the form ""CCYYMMDD""
3. The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)
4. Value must be less than current date
5. Value must be equal to or after the value of associated End of Time Period (CE)
6. Mandatory","""ccyymmdd"" = Run Date
",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP008,V3,No Change,CIP008,TRUE,Other System,0,N/A,"""ccyymmdd"" = Run Date
",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,START-OF-TIME-PERIOD,Start of Time Period,"This value must be the first day of the reporting month, regardless of the actual date span of the data in the file.",Date,CCYYMMDD,,,,,,,,50,57,9(8),,,"1. Value of the CC component must be ""20""
2. Value must be 8 characters in the form ""CCYYMMDD""
3. The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)
4. Value must be equal to or earlier than associated Date File Created (CE)
5. Value must be before associated End of Time Period (CE)
6. Mandatory","""ccyymmdd"" = First day of the month and prior to the Run Date.
passed in run parameter",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP009,V3,No Change,CIP009,TRUE,Other System,0,N/A,"""ccyymmdd"" = First day of the month and prior to the Run Date.
passed in run parameter",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,END-OF-TIME-PERIOD,End of Time Period,"This value must be the last day of the reporting month, regardless of the actual date span.",date,CCYYMMDD,,,,,,,,58,65,9(8),,,"1. Value must be 8 characters in the form ""CCYYMMDD""
2. Value of the CC component must be ""20""
3. The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)
4. Value must be equal to or earlier than associated Date File Created (CE)
5. Value must be equal to or after associated Start of Time Period (CE)
6. Mandatory","""ccyymmdd"" = Last day of  the month and prior to the Run Date.
Passed in run parameter",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP010,V3,No Change,CIP010,TRUE,Other System,0,N/A,"""ccyymmdd"" = Last day of of the month and prior to the Run Date.
Passed in run parameter",FALSE
