Data Element,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Provider ID,PROVIDER_ID,VARCHAR2,20,
Application Status,APPLICATION_STATUS,VARCHAR2,80,
Enrollment Type,ENRLMNT_TYPE_NAME,VARCHAR2,80,
Entity Type,ENTITY_TYPE,CHAR,1,
Tax ID Type ,TAX_ID_TYPE,VARCHAR2,10,
EIN/SSN/TIN,TAX_IDNTFCTN_NMBR,VARCHAR2,9,
Legal Name,LEGAL_NAME,VARCHAR2,100,
Business Name,ORG_BSNS_NAME,VARCHAR2,100,
First Name,FIRST_NAME,VARCHAR2,20,
Last Name,LAST_NAME,VARCHAR2,30,
Middle Name,MIDDLE_NAME,VARCHAR2,20,
Suffix,SUFFIX_LKPCD,VARCHAR2,10,
Gender,GENDER_LKPCD,CHAR,1,
Date of Birth,BIRTH_DATE,DATE,,
Applicant Type,APPLICANT_TYPE,VARCHAR2,100,
Tribal Type,TRIBAL_TYPE_LKPCD,VARCHAR2,10,APEP only
NPI,NATIONAL_PRVDR_IDNTFR,NUMBER,10,
W9 Entity Type,W9_ENTITY_TYPE,VARCHAR2,100,
Profit Status,PROFIT_STATUS,VARCHAR2,100,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
