Data Element ,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Payment Id,PYMNT_IDNTFR,VARCHAR2,50,
Payment_Reason,PYMNT_RSN_LKPCD,VARCHAR2,10,
Payment Amount,PYMNT_AMT,NUMBER,"15,2",
Fee Option,PYMNT_OPTN_LKPCD,VARCHAR2,10,
Payment Made To,PYMNT_TGT_LKPCD,VARCHAR2,10,
Payment Status,PYMNT_STATUS_CID,NUMBER,3,
Confirmation Number,PYMNT_CNFRMTN_NMBR,VARCHAR2,50,
Payment Date,PYMNT_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
