Data Element ,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,AHCCCS_ID,VARCHAR2,6,
License Type,LCNS_CRTFCTN_NAME,VARCHAR2,100,
License Number,LCNS_CRTFCTN_NMBR,VARCHAR2,20,
Valid Flag,VALID_LCNS_FLAG,CHAR,1,
Classification Type,LCNS_CLSFCTN_TYPE_LKPCD,VARCHAR2,10,
License State,LCNS_STATE_CODE,VARCHAR2,2,
Specialty/Subspecialty,SPECIALTY,VARCHAR2,100,
Remark,REMARK,VARCHAR2,1000,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
