Data Element,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Location Code,LCTN_CODE,VARCHAR2,2,
Street Line 1,STREET1,VARCHAR2,55,
Street Line 2,STREET2,VARCHAR2,55,
Street Line 3,STREET3,VARCHAR2,55,
State,STATE_PRVNC_NAME,VARCHAR2,30,
Country,COUNTRY_NAME,VARCHAR2,30,
City/Town,CITY_TOWN_NAME,VARCHAR2,50,
County,COUNTY_NAME,VARCHAR2,40,
Zip code,POSTAL_CODE,VARCHAR2,6,
Zip+4 Code,AREA_CODE,VARCHAR2,4,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
