Data Element,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Location Type,PRVDR_LCTN_TYPE_LKPCD,VARCHAR2,10,
Location Code,LCTN_CODE,VARCHAR2,2,
Doing Business As,LCTN_NAME,VARCHAR2,100,
Phone Number,LCTN_PHONE_NMBR,VARCHAR2,10,
Phone Number Extension,LCTN_PHONE_EXTN_NMBR,VARCHAR2,4,
Email Address,LCTN_EMAIL,VARCHAR2,100,
Web Page,LCTN_WEB_URL,VARCHAR2,100,
Accept New Client,ACCEPT_NEW_PATIENT_FLAG,CHAR,1,
Hadicap Accessible,HANDICAP_ACCESSIBLE_FLAG,CHAR,1,
Languages Spoken,SPOKEN_LNG_CODE,VARCHAR2,2000,
Maxium Clients,MAX_CLIENTS,NUMBER,5,
Offers Obgyn Services,OFFERS_OBGYN_SERVICES_LKPCD,VARCHAR2,10,
Pediatric Services,PEDIATRIC_SERVICES_FLAG,CHAR,1,
FQHC,FQHC_FLAG,CHAR,1,
Office Hour,ACTUAL_OFFICE_HOURS,VARCHAR2,200,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
