Data Element,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Owner Sequend ID,PRVDR_OWNER_SID,NUMBER,20,Primary Key of an owner record
Owner Type,LKP_VALUE_NAME,VARCHAR2,50,
Tax ID Type ,TAX_ID_TYPE,VARCHAR2,10,
EIN/SSN/TIN,TAX_IDNTFCTN_NMBR,VARCHAR2,9,
Legal Name,LEGAL_BSNS_NAME,VARCHAR2,100,
Alias Name,ALIAS_NAME,VARCHAR2,100,
First Name,FIRST_NAME,VARCHAR2,20,
Last Name,LAST_NAME,VARCHAR2,30,
Owner Percentage,PRCNTG_OWNED,NUMBER,3,
Phone Number,PRVDR_OWNER_PHONE_NMBR,VARCHAR2,10,
Street Line 1,STREET1,VARCHAR2,55,
Street Line 2,STREET2,VARCHAR2,55,
Street Line 3,STREET3,VARCHAR2,55,
State,STATE_PRVNC_NAME,VARCHAR2,30,
Country,COUNTRY_NAME,VARCHAR2,30,
City/Town,CITY_TOWN_NAME,VARCHAR2,50,
County,COUNTY_NAME,VARCHAR2,40,
Zip code,POSTAL_CODE,VARCHAR2,6,
Zip+4 Code,AREA_CODE,VARCHAR2,4,
Remark,REMARK,VARCHAR2,1000,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
