Data Element,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Provider Type Code,STATE_PRVDR_TYPE_CODE,VARCHAR2,5,
Provider Type Name,PRVDR_TYPE_NAME,VARCHAR2,50,
Specialty Code,SPCLTY_CODE,VARCHAR2,5,
Specialty Name,SPCLTY_NAME,VARCHAR2,100,
Subspecialty Code,SUBSPCLTY_CODE,VARCHAR2,5,
Subspecialty Name,SUBSPCLTY_NAME,VARCHAR2,100,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
