Data Element ,Column Name,Data Type,Length,Note
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
Revalidation Cycle No,RVLDTN_CYCLE_NO,NUMBER,4,
Cycle Type,CYCLE_TYPE_LKPCD,VARCHAR2,1,
Status,STATUS_NAME,VARCHAR2,80,
Modification Request Number,BPW_PRCS_TRNSCTN_SID,NUMBER,15,
Remark,REMARK,VARCHAR2,1000,
Cycle Start Date,CYCLE_START_DATE,DATE,,
Revalidation Start Date,FROM_DATE,DATE,,
Revalidation End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
