Data Element ,Column Name,Data Type,Length,Note
User Login ID,USER_LOGIN_ID,VARCHAR2,50,
Domain Type,DOMAIN_TYPE_LKPCD,VARCHAR2,10,"O-State User or System User, P-Provider User"
Domain Name,DOMAIN_NAME,VARCHAR2,30,
Application ID,APLCTN_SID,NUMBER,14,
AHCCCS ID,IDNTFR,VARCHAR2,6,
User First Name,FIRST_NAME,VARCHAR2,20,
User Last Name,LAST_NAME,VARCHAR2,30,
Start Date,FROM_DATE,DATE,,
End Date,TO_DATE,DATE,,
Created By,CREATED_BY,VARCHAR2,50,
Created Date,CREATED_DATE,DATE,,
Modified By,MODIFIED_BY,VARCHAR2,50,
Modified Date,MODIFIED_DATE,DATE,,
