OWNER,TABLE_NAME,COLUMN_NAME,ADDED_DESCRIPTION,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SIEBEL,CX_EMRGNCY_SRV,ROW_ID,Row Id of the record,VARCHAR2,,,60,,,N,1,,,151817,312D31303137313447,312D5A5A534C4D30,6.59E-06,0,1,2-Jun-24,151817,CHAR_CS,60,YES,NO,10,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,CREATED,Date on which record is created,DATE,,,7,,,N,2,8,sysdate ,145216,78730113151C1E,787C0602031D29,6.89E-06,0,1,2-Jun-24,151817,,,YES,NO,8,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_EMRGNCY_SRV,CREATED_BY,Login by whom record is created,VARCHAR2,,,60,,,N,3,,,192,312D31313936355658,312D5A4C41344E58,0.005208333,0,1,2-Jun-24,151817,CHAR_CS,60,YES,NO,8,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,LAST_UPD,Recent Date on which record got updated,DATE,,,7,,,N,4,8,sysdate ,145920,78730113151C1E,787C0602031D29,6.85E-06,0,1,2-Jun-24,151817,,,YES,NO,8,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_EMRGNCY_SRV,LAST_UPD_BY,Login by whom record is updated recently,VARCHAR2,,,60,,,N,5,,,197,312D31313936355658,312D5A4C41344E58,0.005076142,0,1,2-Jun-24,151817,CHAR_CS,60,YES,NO,8,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,MODIFICATION_NUM,Number of modifications on the record,NUMBER,,,22,10,0,N,6,2,0,16,80,C113,3.29E-06,0,16,2-Jun-24,151817,,,YES,NO,3,0,,NO,YES,FREQUENCY,NO,NO,,,,
SIEBEL,CX_EMRGNCY_SRV,CONFLICT_ID,unique identifier assigned to a conflict record.,VARCHAR2,,,60,,,N,7,4,0' ,1,30,30,1,0,1,2-Jun-24,151817,CHAR_CS,60,YES,NO,2,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,CONTACT_ID,Health Service Contact,VARCHAR2,,,60,,,N,8,,,143648,312D31303041363231,312D5A5A534C4C49,6.96E-06,0,1,2-Jun-24,151817,CHAR_CS,60,YES,NO,10,15,C,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SIEBEL,CX_EMRGNCY_SRV,DB_LAST_UPD,Recent Date on which record got updated from DB,DATE,,,7,,,Y,9,,,145472,78730113151C1F,787C0602031D29,6.87E-06,0,1,2-Jun-24,151817,,,YES,NO,8,0,,NO,YES,NONE,NO,NO,,,,
SIEBEL,CX_EMRGNCY_SRV,END_DATE,Health service End date,DATE,,,7,,,Y,10,,,3655,7.76E+13,8.27E+13,0.000273598,26833,1,2-Jun-24,124984,,,YES,NO,7,0,,NO,YES,NONE,NO,NO,,,,
