Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Logic,Column Order,Lineage,GAP,Findings 
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Activities Data Format (ALDF) ,Date of Activity ,, ,DATE ,MM/DD/YYYY ,,,,,,,,,10 ,,,Mandatory   ,MM/DD/YYYY ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Activities Data Format (ALDF) ,Name(s) of staff who conducted activity ,,The first and last names of the staff who conducted the activity listed ,CHAR ,,,,,,,,,,40 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Activities Data Format (ALDF) ,Goal of activity  ,, ,CHAR ,,,,,,,,,,200 ,,,Mandatory ,"Service over-utilization 
Prescription drug utilization 
Outlier analysis 
Upcoding 
Impossible hours 
Other (specify) ",,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Activities Data Format (ALDF) ,"Summary of how activity was conducted (e.g. what tools used, description of providers examined) ",, ,CHAR ,,,,,,,,,,1000 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Activities Data Format (ALDF) ,Results of activity ,,A summary of findings or new analyses that resulted from the activity ,CHAR ,,,,,,,,,,1000 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Activities Data Format (ALDF) ,Did this activity result in an SIU Case or Referral to the State? ,,"If the results from the activity identified potential fraud or abuse, was a referral sent to the State? ",CHAR ,,,,,,,,,,3 ,,,Mandatory ,"Yes 
No ",,,,,
MCO Reporting,Accreditation Status (ASR) ,Attachments  ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Description ,, ,CHAR ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Total Number of Servicing Providers ,, ,CHAR ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Servicing Providers Eligible for PCP Enhancement Payment ,, ,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Amounts Owed Based on Medicaid Payment Schedule ,, ,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Amount Paid Based on PCP Enhancement Payment Methodology ,, ,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Enhancement Payments Made ,, ,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Part B: PCP Enhancement Payments Program ,Total ,,Auto-calculated field ,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,Accreditation Status (ASR) ,Section I: Accreditation Status ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,Primary Care Report (PCR),Section I: Aggregate Metric (Advancing Primary Care and PCP Enhancement) ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,Prior Authorization - Medical (PAM) ,Section I: Aggregate Prior Authorizations Data ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,Interpretation/Translated Documents (ITR) ,Section I: Aggregate-Level Data File (ALDF,DHS Language Group ,, ,CHAR , , ,,,,,,,,,,,,,,,,,
MCO Reporting,Interpretation/Translated Documents (ITR) ,Section I: Aggregate-Level Data File (ALDF,Type of Service ,, ,CHAR , , ,,,,,,,,,,,,,,,,,
MCO Reporting,Interpretation/Translated Documents (ITR) ,Section I: Aggregate-Level Data File (ALDF,Number of NEW Requests ,, ,INT , , ,,,,,,,,,,,,,,,,,
MCO Reporting,Interpretation/Translated Documents (ITR) ,Section I: Aggregate-Level Data File (ALDF,Number of Outstanding Requests ,, ,INT , , ,,,,,,,,,,,,,,,,,
MCO Reporting,Interpretation/Translated Documents (ITR) ,Section I: Aggregate-Level Data File (ALDF,Number of Requests Fulfilled (Regardless if Member Received Service) ,, ,INT , , ,,,,,,,,,,,,,,,,,
MCO Reporting,Interpretation/Translated Documents (ITR) ,Section I: Aggregate-Level Data File (ALDF,Number of Requests that Resulted in Member Receiving Service ,, ,INT , , ,,,,,,,,,,,,,,,,,
