ITR Member Level Detail File,,,,,
Variable,Format,Length / Format Detail,Values,Missing & N/A Values,Description
HP_ID,CHAR,7,"
ALOHAC 
HMSAAA 
KAISER 
OHANAA 
UNITED 
OHANBH 
XALOHA 
XHMSAA 
XKAISR  
XOHANA  
XUNITD  ",Missing = Health Plan ID unknown,"QUEST ASSIGNED HEALTH PLAN IDENTIFIER;
ALOHAC  = AlohaCare – Non-ABD Clients
HMSAAA  = HMSA – Non-ABD Clients
KAISER = Kaiser – Non-ABD Clients
OHANAA = Ohana (Wellcare) – Non-ABD Clients
UNITED = UnitedHealthcare – Non-ABD Clients
OHANBH = Ohana (Wellcare) – Behavioral Health
XALOHA = AlohaCare – ABD Clients
XHMSAA = HMSA – ABD Clients
XKAISR = Kaiser – ABD Clients
XOHANA = Ohana (Wellcare) – ABD Clients
XUNITD = UnitedHealthcare – ABD Clients"
EXTRACT_DATE,DATE,MM/DD/YYYY,,12/31/2299 = Extract date unknown,DATE OF DATA EXTRACT
REPORT_YEAR,NUM,YYYY,, -999 = Report year unknown,REPORT YEAR
EXTRACT_PREP,CHAR,40,,Missing = Extract prep unknown,NAME OF PREPARER OF DATA EXTRACT
EX_PREP_EMAIL,CHAR,40,,Missing = Extract prep email unknown,EMAIL ADDRESS OF PREPARER OF DATA EXTRACT
ISLAND_CODE,CHAR,7,"01 = Oahu
04 = Kauai
05 = Hawaii
07 = Maui
08 = Molokai
09 = Lanai
31 = Out of State
33 = Out of Country
","
Missing = Island code unknown",As defined in the HPS File (see HPMMIS Provider Manual)
HAWI_ID,CHAR,10,Medicaid ID,Missing = Hawi ID Unknown,MED-QUEST ASSIGNED BENEFICIARY IDENTIFICATION NUMBER
SVC_REQUEST_DATE,DATE,MM/DD/YYYY,Requested Services Date,12/31/2299: Service request date is unknown,"Date when service was requested (Interpretation, Translation)"
SVC_FULFILLED_DATE,DATE,MM/DD/YYYY,,"12/31/2200: The service was not fulfilled
12/31/2299: Service was fulfilled but date is unknown",Date when the health plan fulfilled the service request (not the appointment date). Date health plan secured interpreter or translator for the member.
SERVICE_REQUESTED,CHAR,7,"I = Interpretation
T = Translation",Missing = Type of Service Requested is Unknown,Type of Service Requested
NUM_SVCS_REQ,NUM,4,Number of Services Requested,-999 = Number of services requested unknown,Number of Services Requested (#Interpretations or Translations requested)
LANG_CODE,NUM,4,*See Language Ref,-999: Lang code unknown,2017 PUMS Code
LANG_DET_CODE,NUM,4,*See Language Ref,-999: Lang det code unknown,2018 Language Microdata Code
DHS_LANG_GP,CHAR,20,*See Language Ref,Missing: DHS Lang Group unknown,DHS Language Group
SVC_PROVIDED,CHAR,7,"Y = Service Provided
N = Service Not Provided
","PE = Administrative status is pending
Missing: The status of service being provided is missing/unknown",Whether Service Requested was Provided (Y/N)
SVC_PROVIDED_DATE,DATE,MM/DD/YYYY,,"12/31/1899 = Administrative status is pending
12/31/2200: Service was not provided.
12/31/2299: Service was provided, but date is missing/unknown",Date when Requested Service was Provided 
SVC_PROVIDED_BY,CHAR,7,"ST = Health Plan Staff
CV = Community Volunteer
HC = Health Plan Contractor 
OC = Other Contracted Party
OT = Other","PE = Administrative status is pending
NA = Service was not provided.
Missing: Service was provided, but  provider type is missing/unknown",Who provided the service
SVC_LOCATION,CHAR,7,"IP = In person
TP = By telephone 
WR = In writing","PE = Administrative status is pending
NA = Service was not provided
Missing: Service was provided, but location is missing/unknown",
SVC_NOT_PROV_REASON,CHAR,24,"Service no longer needed
Patient no show
Appointment cancelled
Other","PE = Administrative status is pending
NA: The service was provided
Missing: Service was not provided, but reason is missing/unknown",Reason service not provided
SVC_NOT_PROV_REASON_OTHER,CHAR,MAX,"If the Health Plan chose 'Other' for SVC_NOT_PROV_REASON, then provide the reason in this column.  

","PE = Administrative status is pending
NA: The Health Plan chose a different option than 'Other' or the service was provided.
Missing: Not provided reason is other, but information is missing/Unknown",
DAYS_TO_FULFILL_REQUEST,NUM,,The number of business days between the service request date (column H) and the service fulfilled date (column I).,,This is a locked formula field and requires no input from the health plan.
