Prior Authorization Medical Member-level Data File,,,,,
Variable,Format,Length / Format Detail,Values,Missing/N/A Values,Description
HP_ID,CHAR,7,"
ALOHAC 
HMSAAA 
KAISER 
OHANAA 
UNITED 
OHANBH 
XALOHA 
XHMSAA 
XKAISR  
XOHANA  
XUNITD  ",Missing = Health Plan ID unknown,"QUEST ASSIGNED HEALTH PLAN IDENTIFIER;
ALOHAC  = AlohaCare – Non-ABD Clients
HMSAAA  = HMSA – Non-ABD Clients
KAISER = Kaiser – Non-ABD Clients
OHANAA = Ohana (Wellcare) – Non-ABD Clients
UNITED = UnitedHealthcare – Non-ABD Clients
OHANBH = Ohana (Wellcare) – Behavioral Health
XALOHA = AlohaCare – ABD Clients
XHMSAA = HMSA – ABD Clients
XKAISR = Kaiser – ABD Clients
XOHANA = Ohana (Wellcare) – ABD Clients
XUNITD = UnitedHealthcare – ABD Clients"
EXTRACT_DATE,DATE,MM/DD/YYYY,,12/31/2299 = Extract date unknown,DATE OF DATA EXTRACT
REPORT_YEAR,NUM,YYYY,, -999 = Report year unknown,REPORT YEAR
EXTRACT_PREP,CHAR,40,,Missing = Extract prep unknown,NAME OF PREPARER OF DATA EXTRACT
EX_PREP_EMAIL,CHAR,40,,Missing = Extract prep email unknown,EMAIL ADDRESS OF PREPARER OF DATA EXTRACT
ISLAND_CODE,CHAR,7,"01 = Oahu
04 = Kauai
05 = Hawaii
07 = Maui
08 = Molokai
09 = Lanai
31 = Out of State
33 = Out of Country","
Missing = Island code unknown",As defined in the HPS File (see HPMMIS Provider Manual)
QUEST_PROVIDER_ID,CHAR,7,Provider ID,"NA =Provider does not have an MQD ID
Missing = Provider has a MQD ID, but MQD ID is unknown",As defined in the HPS File (see HPMMIS Provider Manual)
NATIONAL_PROVIDER_ID,CHAR,10,NATIONAL PROVIDER ID (NPI),"NA = Provider does not have an NPI
Missing = Provider has an NPI, but NPI is unknown",NATIONAL PROVIDER IDENTIFIER (NPI)
PROV_NAME,CHAR,40,Registered business name or Provider's Last/First Name,Missing =Provider name unknown,As defined in the HPS File (see HPMMIS Provider Manual)
HAWI_ID,CHAR,10,Medicaid ID,Missing = Hawi ID unkown,MED-QUEST ASSIGNED BENEFICIARY IDENTIFICATION NUMBER
Member_Last,CHAR,50,,Missing = Member last name unknown,Member Last Name related to prior authorization denial
Member_First,CHAR,50,,Missing = Member first name unknown,Member First Name related to prior authorization denial
Member_DOB,DATE,MM/DD/YYYY,,12/31/2299 = Member DOB unknown,Date of Birth of Member
PA_Request_Date,DATE,MM/DD/YYYY,,12/31/2299 =PA request date unknown,Date of prior authorization request
PA_Request_Type,NUM,4,"1 = Standard
2 = Expedited
3 = Retrospective", -999 = PA request type unknown,What is the type of PA request?
Treatment_Focus_BH,CHAR,7,"Y=Yes
N=No",Missing = Unknown whether PA was related to BH Services,Was this PA related to BH services?
PA_Decision,CHAR,7,"A = Approved
D =Denied","NA = PA Decision has not been reached
Missing: PA Decision has been reached, but status unknown",Was the PA approved or denied?
PA_Request_Expedited_Time,TIME,XX:XX,,"88:88 =There was not an expedited request
99:99 = There was an expedited request, but time unkonwn","For expedited requests only, time of day of request"
Request_Extension,CHAR,7,"Y=Yes
N=No",Missing = Unknown if extension was requested,Was an extension requested?
Request_Extension_Party,NUM,4,"1 = Health Plan
2 = Member
3 = Provider
4 = Other"," -99 = There was no extension request
 -999 = There was an extension request, but who requested is unknown",Who requested the extension?
Date_Request_Extension,DATE,MM/DD/YYYY,,"12/31/2200 = There was no extension request
12/31/2299 = There was an extension request, but date is unknown",Date extension was requested
Extension_Decision,CHAR,7,"Y=Yes
N=No","NA = There was no extension request
Missing = There was an extension request, but decision unknown",Was extension approved?
ICD10Code,CHAR,MAX,XX.XXXXXX,Missing = ICD10 code Unknown,ICD-10 Code
