FIELD NAME,FIELD DESCRIPTION,"COLUMN
LENGTH","COLUMN
START","COLUMN
END",SPECIFICATION
Sub_ID,Health Plan NCQA HEDIS Submission ID,5,1,5,The unique plan identifier assigned by NCQA for summary-level data submission. This must match the NCQA HEDIS submission ID used in the health plan's NCQA IDSS submission.
MemID,HAWI Client ID,10,6,15,"Enter the Med-QUEST assigned member ID. For the member ID, use the member's Hawaii HAWI assigned client number, which contains 10 digits. Ensure that all 10 digits are reported, adding leading zeros, if necessary."
Last_Name,Subscriber Last Name,50,16,65,Enter the member's last name. The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.
First_Name,Subscriber First Name,50,66,115,Enter the member's first name. The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.
DOB,Member Birth Date,8,116,123,"The birth date must contain 8 digits with year, month, and day.
Enter:
CCYYMMDD (e.g., September 20, 1983 would be 19830920) 
The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file."
Gender,Gender,1,124,124,"Enter:
'F' if this member is female
'M' if this member is male
The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file."
Race_Eth,Race or Ethnicity Code,1,125,125,"Enter:
'7' if this member is UN (Unknown/Unspecified) race/ethnicity group
'A' if this member is of CH (Chinese), FI (Filipino), JA (Japanese), KO (Korean), or OA (Other Asians) race/ethnicity groups
'E' if this member is of the MI (Mixed) or OT (Other) race/ethnicity groups
'H' if this member is of the HI (Hispanic) or PR (Puerto Rican) race/ethnicity groups
'I' if this members is of the AI (American Indian) race/ethnicity group
'J' if this member is of the HA (Hawaiian Native) race/ethnicity group
'N' if this member is of the BL (Black not of Hispanic origin) race/ethnicity group
'O' if this member is of the WH (White not of Hispanic origin) race/ethnicity group
'P' if this member is of the OP (Other Pacific Islanders) or SA (Samoan) race/ethnicity group
The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file."
Language,Language Code,3,126,128,"Enter:
'CHI' if the member's primary spoken language code is C (Chinese, Cantonese)
'ZHO' if the member's primary spoken language code is M (Chinese, Mandarin)
'ENG' if the member's primary spoken language code is E (English)
'HAW' if the member's primary spoken language is H (Hawaiian)
'ILO' if the member's primary spoken language code is I (Filipino, Ilocano)
'JPN' if the member's primary spoken language is J (Japanese)
'KMH' if the member's primary spoken language is B (Cambodian)
'KOR' if the member's primary spoken language is K (Korean)
'LAO' if the member's primary spoken language is L (Laotian)
'PHI' if the member's primary spoken language is F (Filipino, Other)
'SGN' if the member's primary spoken language is D (Sign Language)
'SMO' if the member's primary spoken language is N (Samoan)
'SPA' if the member's primary spoken language is S (Spanish)
'TGL' if the member's primary spoken language is G (Filipino, Tagalog)
'TON' if the member's primary spoken language is T (Tongan)
'UND' if the member's primary spoken language is P (South Pacific [other]) or O (Other)
'VIE' if the member's primary spoken language is V (Vietnamese)
The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file."
ZIP_Code,Subscriber Postal Zone or ZIP Code,9,129,137,"Enter the member's residence ZIP Code, using the nine-digit ZIP Code when available. The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file."
Rate_Code,Rate Code,10,138,147,This should match the rate code information contained in the Insured Group or Policy Number from the REF02 element in the Loop 2000 REF segment from the 834 transaction file.
Contract_Type,Contract Type,10,148,157,This should match the contract type information contained in the Insured Group or Policy Number from the REF02 element in the Loop 2000 REF segment from the 834 transaction file.
D_AMM_ACUTE,Eligible population for AMM: Effective Acute Phase Treatment—Total,1,158,158,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population"
N_AMM_ACUTE,Numerator for AMM: Effective Acute Phase Treatment—Total,1,159,159,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing"
D_AMM_CONT,Eligible population for AMM: Effective Continuation Phase Treatment—Total,1,160,160,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population"
N_AMM_CONT,Numerator for AMM: Effective Continuation Phase Treatment—Total,1,161,161,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing"
D_BHA_14,Eligible population for BHA,1,162,162,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population"
N_BHA_14,Numerator for BHA: Within 14 Days of Enrollment,1,163,163,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing"
D_BHA_15,Eligible population for BHA,1,164,164,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population"
N_BHA_15,Numerator for BHA: Within 15-30 Days of Enrollment,1,165,165,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing"
D_BHA_31,Eligible population for BHA,1,166,166,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population"
N_BHA_31,Numerator for BHA: Within 31-60 Days of Enrollment,1,167,167,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing"
