MEASURE,FIELD,VARIABLE_NAME,INDICATOR,SPECIFICATION,COLUMN_START,COLUMN_END,COLUMN_LENGTH,VARIABLE_TYPE
General Info,Health Plan NCQA HEDIS Submission ID,SubID,,The unique plan identifier assigned by NCQA for summary-level data submission. This must match the NCQA HEDIS submission ID used in the health plan's NCQA IDSS submission.,1,5,5,Character
General Info,HAWI Client ID,MemID,,"Enter the Med-QUEST assigned member ID. For the member ID, use the member's Hawaii HAWI assigned client number, which contains 10 digits. Ensure that all 10 digits are reported, adding leading zeros, if necessary.",6,15,10,Character
General Info,Subscriber Last Name,Lname,,Enter the member's last name. The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.,16,65,50,Character
General Info,Subscriber First Name,Fname,,Enter the member's first name. The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.,66,115,50,Character
General Info,Member Birth Date,DOB,,"The birth date must contain 8 digits with year, month, and day.
Enter:
CCYYMMDD (e.g., September 20, 1983 would be 19830920) 
The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.",116,123,8,Character
General Info,Gender,Gender,,"Enter:
'F' if this member is female
'M' if this member is male
The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.",124,124,1,Character
General Info,Race or Ethnicity,Race_Ethnic,,"Enter the race/ethnicity (White, Black or African American, Hispanic, Native Hawaiian, etc.) for the member based on your health plan's demographic information. If the only race/ethnicity information you have for the member is from the data provided by MQD in its 834 transaction file, please use that race/ethnicity information. Please provide a crosswalk of your health plan's race/ethnicity values with the submission of this PLD file.",125,174,50,Character
General Info,Primary Language,Language,,"Enter the primary language (English, Spanish, Tagalog, Japanese, etc.) for the member based on your health plan's demographic information for this member. If the only primary language information you have for the member is from the data provided by MQD in its 834 transaction file, please use that primary language information. Please provide a crosswalk of your health plan's primary language values with the submission of this PLD file.",175,224,50,Character
General Info,Subscriber Postal Zone or ZIP Code,ZIPCode,,"Enter the member's residence ZIP Code, using the nine-digit ZIP Code when available. The demographics listed here must match the data provided by MQD to the health plan in its 834 transaction file.",225,233,9,Character
General Info,Rate Code,RateCode,,This should match the rate code information contained in the Insured Group or Policy Number from the REF02 element in the Loop 2000 REF segment from the 834 transaction file.,234,243,10,Character
General Info,Contract Type,ContractType,,This should match the contract type information contained in the Insured Group or Policy Number from the REF02 element in the Loop 2000 REF segment from the 834 transaction file.,244,253,10,Character
General Info,Total months dually eligible,Dual_month,,Enter the number of months the member had Medicare and Medicaid with the same health plan.,254,255,2,Character
General Info,Total months external primary insurance,Insur_month,,Enter the number of months the member had primary insurance other than Medicaid with a different company.,256,257,2,Character
General Info,Type of external primary insurance,Insur_type,,"Enter:
'0' if the member did not have primary insurance other than Medicaid
'1' if the member had Medicare with another insurance company
'2' if the member had Commercial insurance with another insurance company",258,258,1,Character
AMM,Eligible population for AMM: Effective Acute Phase Treatment—Total,AMM1_Denom,Effective Acute Phase Treatment,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population",259,259,1,Numeric
AMM,Numerator for AMM: Effective Acute Phase Treatment—Total,AMM1_Num,Effective Acute Phase Treatment,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing",260,260,1,Numeric
AMM,Eligible population for AMM: Effective Continuation Phase Treatment—Total,AMM2_Denom,Effective Continuation Phase Treatment,"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population",261,261,1,Numeric
AMM,Numerator for AMM: Effective Continuation Phase Treatment—Total,AMM2_Num,Effective Continuation Phase Treatment,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing",262,262,1,Numeric
BHA,Eligible population for BHA,BHA1_Denom,BHA Completion Within 14 Days of Enrollment (within standard),"Enter:
'1' if this member is in the eligible population
'0' if this member is not in the eligible population",263,263,1,Numeric
BHA,Numerator for BHA: Within 14 Days of Enrollment,BHA1_Num,BHA Completion Within 14 Days of Enrollment (within standard),"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing",264,264,1,Numeric
BHA,Numerator for BHA: Within 15-30 Days of Enrollment,BHA2_Num,BHA Completion Within 15-30 Days of Enrollment,"Enter:
'1' if this member is in the numerator
'0' if this member is not in the numerator OR the information for this member is missing",265,265,1,Numeric
