LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMB1_Denom,1,8,17,,0,1,16,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMB1_Num,1,8,18,,0,1,24,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMB2_Denom,1,8,19,,0,1,32,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMB2_Num,1,8,20,,0,1,40,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMB3_Denom,1,8,21,,0,1,48,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMB3_Num,1,8,22,,0,1,56,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMM1_Denom,1,8,23,,0,1,64,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMM1_Num,1,8,24,,0,1,72,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMM2_Denom,1,8,25,,0,1,80,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,AMM2_Num,1,8,26,,0,1,88,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
