MEASURE,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AAP1_Denom,1,8,17,,1,16,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AAP1_Num,1,8,18,,1,24,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ACP2_Denom,1,8,19,,1,32,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ACP2_Num,1,8,20,,1,40,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ACP3_Denom,1,8,21,,1,48,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ACP3_Num,1,8,22,,1,56,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ACP4_Denom,1,8,23,,1,64,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ACP4_Num,1,8,24,,1,72,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ADD1_Denom,1,8,173,,1,1264,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ADD1_Num,1,8,174,,1,1272,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ADD2_Denom,1,8,175,,1,1280,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,ADD2_Num,1,8,176,,1,1288,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMB1_Denom,1,8,25,,1,80,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMB1_Num,1,8,26,,1,88,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMB2_Denom,1,8,27,,1,96,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMB2_Num,1,8,28,,1,104,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMB3_Denom,1,8,29,,1,112,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMB3_Num,1,8,30,,1,120,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMM3_Denom,1,8,31,,1,128,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMM3_Num,1,8,32,,1,136,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMM4_Denom,1,8,33,,1,144,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMM4_Num,1,8,34,,1,152,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMR_Denom,1,8,35,,1,160,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,AMR_Num,1,8,36,,1,168,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APM1_Denom,1,8,254,,1,1912,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APM1_Num,1,8,255,,1,1920,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APM2_Denom,1,8,256,,1,1928,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APM2_Num,1,8,257,,1,1936,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APM3_Denom,1,8,258,,1,1944,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APM3_Num,1,8,259,,1,1952,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APP_EP,1,8,294,,1,2232,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,APP_Num,1,8,295,,1,2240,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,BCS_EP,1,8,40,,1,200,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,BCS_Num,1,8,41,,1,208,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,BPD_Denom,1,8,38,,1,184,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2023_PLD,,,BPD_EP,1,8,37,,1,176,476229,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
