Source,Source File,Table Name,Column,,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
CMS_MMA,Response File,DET_PRO_LIS,Record_Identification_Code,,A copy of the detail record in the incoming file is displayed in positions 1-180.,CHAR,,,,,,,,Y,1,3,3,,,,Live Data Transmission,1,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Eligibility_Month_Year,,Eligibility Month/Year,NUM,MMCCYY,,,,,,,Y,4,9,6,,,,Live Data Transmission,2,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Eligibility_Status,,Eligibility Status,CHAR,,,,,,,,Y,10,10,1,,,,Live Data Transmission,3,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiarys_Identifier,,Beneficiary’s Identifier,CHAR,,,,,,,,Y,11,25,15,,,,Live Data Transmission,4,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiary_Identifier_Indicator_Code,,Beneficiary Identifier Indicator Code,CHAR,,,,,,,,Y,26,26,1,,,,Live Data Transmission,5,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiarys_Social_Security_Number,,Beneficiary’s Social Security Number,NUM,,,,,,,,Y,27,35,9,,,,Live Data Transmission,6,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Sma_Identifier,,SMA Identifier,CHAR,,,,,,,,Y,36,55,20,,,,Live Data Transmission,7,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiarys_First_Name,,"First name of the Medicare, beneficiary",CHAR,,,,,,,,Y,56,67,12,,,,Live Data Transmission,8,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiarys_Last_Name,,"Last name of the Medicare, beneficiary including any titles or suffixes.",CHAR,,,,,,,,Y,68,87,20,,,,Live Data Transmission,9,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiarys_Middle_Name,,"Middle initial of the Medicare, beneficiary",CHAR,,,,,,,,Y,88,102,15,,,,Live Data Transmission,10,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
