DE_NO,DATA_ELEMENT_NAME,SIZE,START POSITION,STOP POSITION,FILE NAME,FILE SEGMENT (with RECORD-ID),File Segment Number,File Segment Name
CIP001,RECORD-ID,X(8),1,8,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP002,DATA-DICTIONARY-VERSION,X(10),9,18,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP003,SUBMISSION-TRANSACTION-TYPE,X(1),19,19,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP004,FILE-ENCODING-SPECIFICATION,X(3),20,22,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP005,DATA-MAPPING-DOCUMENT-VERSION,X(9),23,31,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP006,FILE-NAME,X(8),32,39,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP007,SUBMITTING-STATE,X(2),40,41,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP008,DATE-FILE-CREATED,9(8),42,49,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP009,START-OF-TIME-PERIOD,9(8),50,57,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP010,END-OF-TIME-PERIOD,9(8),58,65,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP011,FILE-STATUS-INDICATOR,X(1),66,66,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP012,SSN-INDICATOR,X(1),67,67,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP013,TOT-REC-CNT,9(11),68,78,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP275,SEQUENCE-NUMBER,X(4),79,82,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP014,STATE-NOTATION,X(500),83,582,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP015,FILLER,X(1518),583,2100,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001,CIP00001,FILE-HEADER-RECORD-IP
CIP016,RECORD-ID,X(8),1,8,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP017,SUBMITTING-STATE,X(2),9,10,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP018,RECORD-NUMBER,9(11),11,21,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP019,ICN-ORIG,X(50),22,71,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP020,ICN-ADJ,X(50),72,121,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP021,SUBMITTER-ID,X(12),122,133,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP022,MSIS-IDENTIFICATION-NUM,X(20),134,153,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP023,CROSSOVER-INDICATOR,X(1),154,154,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP024,TYPE-OF-HOSPITAL,X(2),155,156,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP025,1115A-DEMONSTRATION-IND,X(1),157,157,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP026,ADJUSTMENT-IND,X(1),158,158,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP027,ADJUSTMENT-REASON-CODE,X(3),159,161,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
