DE Number,System DE Number,Data Element,Data Element Name Text,Necessity,Definition,Valid Values,File Segment Number,File Segment Name,Size,FLF Start Position,FLF Stop Position,Segment Key Field Identifier,Coding Requirements,file_name
CIP001,CIP.001.001,RECORD-ID,Record ID,Mandatory,"The Record ID represents the type of segment being reported. The Record ID communicates how the contents of a given row of data should be interpreted depending on which segment type the Record ID represents. Each type of segment collects different data elements so each segment type has a distinct layout. The first 3 characters identify the relevant file (e.g., ELG, PRV, CIP, etc.). The last 5 digits are the segment identifier padded with leading zeros (e.g., 00001, 00002, 00003, etc.).",CIP001 Values,CIP00001,FILE-HEADER-RECORD-IP,X(8),1,8,Not Applicable,"1. Value must be 8 characters
2. Mandatory
3. Value must be in Record ID List (VVL)
4. Value must equal ""CIP00001""",CLAIMIP
CIP002,CIP.001.002,DATA-DICTIONARY-VERSION,Data Dictionary Version,Mandatory,A data element to capture the version of the T-MSIS data dictionary that was used to build the file.,CIP002 Values,CIP00001,FILE-HEADER-RECORD-IP,X(10),9,18,Not Applicable,"1. Value must be 10 characters or less
2. Value must be in Data Dictionary Version List (VVL)
3. Value must not include the pipe (""|"") symbol
4. Mandatory",CLAIMIP
CIP003,CIP.001.003,SUBMISSION-TRANSACTION-TYPE,Submission Transaction Type,Mandatory,"A data element to identify the whether the transactions in the file are original submissions of the data, a resubmission of a previously submitted file, or corrections of edit rejects.",CIP003 Values,CIP00001,FILE-HEADER-RECORD-IP,X(1),19,19,Not Applicable,"1. Value must be 1 character
2. Value must be in Submission Transaction Type List (VVL)
3. Mandatory",CLAIMIP
CIP004,CIP.001.004,FILE-ENCODING-SPECIFICATION,File Encoding Specification,Mandatory,Denotes which supported file encoding standard was used to create the file.,CIP004 Values,CIP00001,FILE-HEADER-RECORD-IP,X(3),20,22,Not Applicable,"1. Value must be 3 characters
2. Value must be in File Encoding Specification List (VVL)
3. Mandatory",CLAIMIP
CIP005,CIP.001.005,DATA-MAPPING-DOCUMENT-VERSION,Data Mapping Document Version,Mandatory,Identifies the version of the T-MSIS data mapping document used to build a state submission file.,,CIP00001,FILE-HEADER-RECORD-IP,X(9),23,31,Not Applicable,"1. Value must be 9 characters or less
2. Mandatory",CLAIMIP
CIP006,CIP.001.006,FILE-NAME,File Name,Mandatory,"A code to identify the subject area to which the records in its file relate. Each T-MSIS submission file should only contain records for one subject area (i.e., Eligible, Third-party liability, Provider, Managed Care Plan Information, Inpatient, Long-Term Care, Other, Pharmacy Claim, and Financial Transactions).",,CIP00001,FILE-HEADER-RECORD-IP,X(8),32,39,Not Applicable,"1. Value must equal ""CLAIM-IP""
2. Mandatory",CLAIMIP
CIP007,CIP.001.007,SUBMITTING-STATE,Submitting State,Mandatory,"A code that uniquely identifies the U.S. State or Territory from which T-MSIS system data resources were received.
",CIP007 Values,CIP00001,FILE-HEADER-RECORD-IP,X(2),40,41,Not Applicable,"1. Value must be 2 characters
2. Value must be in State Code List (VVL)
3. Mandatory
",CLAIMIP
CIP008,CIP.001.008,DATE-FILE-CREATED,Date File Created,Mandatory,The date on which the file was created.,,CIP00001,FILE-HEADER-RECORD-IP,9(8),42,49,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value of the CC component must be ""20""
3. Value must be less than current date
4. Value must be equal to or after the value of associated End of Time Period
5. Mandatory",CLAIMIP
CIP009,CIP.001.009,START-OF-TIME-PERIOD,Start of Time Period,Mandatory,"This value must be the first day of the reporting month, regardless of the actual date span of the data in the file.",,CIP00001,FILE-HEADER-RECORD-IP,9(8),50,57,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value must be equal to or earlier than associated Date File Created
3. Value must be before associated End of Time Period
4. Mandatory
5. Value of the CC component must be ""20""",CLAIMIP
CIP010,CIP.001.010,END-OF-TIME-PERIOD,End of Time Period,Mandatory,"This value must be the last day of the reporting month, regardless of the actual date span.",,CIP00001,FILE-HEADER-RECORD-IP,9(8),58,65,Not Applicable,"1. The date must be a valid calendar date in the form ""CCYYMMDD""
2. Value of the CC component must be ""20""
3. Value must be equal to or earlier than associated Date File Created
4. Value must be equal to or after associated Start of Time Period
5. Mandatory",CLAIMIP
