T-MSIS V4.0.0 - Record Layout,,,,,,,,,,,
"Changes from v4.x.x Update to v4.0.0
","New Row Number
   ","File Segment Number
   ","File Segment Name
   ","System Data Element Number
   ","Data Element Number
   ","Data Element Name Computing
   ","Pipe Separated Value Segment Data Element Order
   ","Size
   ","Fixed Length Field Start Position
   ","Fixed Length Field Stop Position
   ","Notes - Changes from v4.x.x Update to v4.0.0
 "
NONE,1,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.001,CIP001,RECORD-ID,1,X(8),1,8,
NONE,2,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.002,CIP002,DATA-DICTIONARY-VERSION,2,X(10),9,18,
NONE,3,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.003,CIP003,SUBMISSION-TRANSACTION-TYPE,3,X(1),19,19,
NONE,4,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.004,CIP004,FILE-ENCODING-SPECIFICATION,4,X(3),20,22,
NONE,5,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.005,CIP005,DATA-MAPPING-DOCUMENT-VERSION,5,X(9),23,31,
NONE,6,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.006,CIP006,FILE-NAME,6,X(8),32,39,
NONE,7,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.007,CIP007,SUBMITTING-STATE,7,X(2),40,41,
NONE,8,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.008,CIP008,DATE-FILE-CREATED,8,9(8),42,49,
NONE,9,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.009,CIP009,START-OF-TIME-PERIOD,9,9(8),50,57,
NONE,10,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.010,CIP010,END-OF-TIME-PERIOD,10,9(8),58,65,
NONE,11,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.011,CIP011,FILE-STATUS-INDICATOR,11,X(1),66,66,
NONE,12,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.012,CIP012,SSN-INDICATOR,12,X(1),67,67,
