DD V2.4.0 - Data Element,,,,,,,,,,,
ACTION CODE,"NEW
 ROW
 NBR",DE NO,DE NO EXTENDED,"DATA 
ELEMENT
 NAME
 COMPUTING","DATA 
ELEMENT
NAME TEXT",DATA ELEMENT LEVEL NECESSITY,DEFINITION,CODING REQUIREMENT,"LAST 
UPDATE
 DATE",FILENAME,"FILE SEGMENT NAME
WITH RECORD ID 
COMPUTING"
X1,1,CIP001,CIP.001.001,RECORD-ID,Record ID ,Mandatory,"The Record Identifier element uniquely identifies each segment in a multi-segment entity record and is primarily used as a ""key"" to maintain referential integrity between data distributed over many segments for a particular entity.",Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,2,CIP001,CIP.001.001,RECORD-ID,Record ID ,Not Applicable,Not Applicable,"Value must equal ""CIP00001""",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,3,CIP002,CIP.001.002,DATA-DICTIONARY-VERSION,Data Dictionary Version ,Mandatory,"A data element to capture the version of the T-MSIS data dictionary that was used to build the file. Use the version number specified on the Cover Sheet of the data dictionary"" to V2.4.",Value must be 10 characters or less,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,4,CIP002,CIP.001.002,DATA-DICTIONARY-VERSION,Data Dictionary Version ,Not Applicable,Not Applicable,"Value must not include the pipe (""|"") symbol",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,5,CIP002,CIP.001.002,DATA-DICTIONARY-VERSION,Data Dictionary Version ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,6,CIP003,CIP.001.003,SUBMISSION-TRANSACTION-TYPE,Submission Transaction Type ,Mandatory,"A data element to identify the whether the transactions in the file are original submissions of the data, a resubmission of a previously submitted file, or corrections of edit rejects.",Value must be in Submission Transaction Type List (VVL),2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,7,CIP003,CIP.001.003,SUBMISSION-TRANSACTION-TYPE,Submission Transaction Type ,Not Applicable,Not Applicable,Value must be 1 character,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,8,CIP003,CIP.001.003,SUBMISSION-TRANSACTION-TYPE,Submission Transaction Type ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,9,CIP004,CIP.001.004,FILE-ENCODING-SPECIFICATION,File Encoding Specification ,Mandatory,Denotes which supported file encoding standard was used to create the file.,Value must be in File Encoding Specification List (VVL),2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,10,CIP004,CIP.001.004,FILE-ENCODING-SPECIFICATION,File Encoding Specification ,Not Applicable,Not Applicable,Value must be 3 characters,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,11,CIP004,CIP.001.004,FILE-ENCODING-SPECIFICATION,File Encoding Specification ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,12,CIP005,CIP.001.005,DATA-MAPPING-DOCUMENT-VERSION,Data Mapping Document Version ,Mandatory,Identifies the version of the T-MSIS data mapping document used to build a state submission file. Use the version number specified on the title page of the data mapping document,Value must be 9 characters or less,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,13,CIP005,CIP.001.005,DATA-MAPPING-DOCUMENT-VERSION,Data Mapping Document Version ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
A2,14,CIP006,CIP.001.006,FILE-NAME,File Name ,Mandatory,"A code to identify the subject area to which the records in its file relate. Each T-MSIS submission file should only 
contain records for one subject area (i.e., Eligible, Third-party liability, Provider, Managed Care Plan Information, 
Inpatient, Long-Term Care, Other, and Pharmacy Claim).",Value must equal 'CLAIM-IP',2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
X1,15,CIP006,CIP.001.006,FILE-NAME,File Name ,Not Applicable,Not Applicable,Mandatory,2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
D1,16,CIP006,CIP.001.006,FILE-NAME,Not Applicable,Not Applicable,[No longer essential - This requirement only],"For TYPE-OF-SERVICE = 001, 058, 060, 084, 086, 090, 091, 092, 093, 123, 132, or 135, FILE-NAME must be CLAIM-IP.",2/12/2021,CLAIMIP,FILE-HEADER-RECORD-IP-CIP00001
