File Segment Name,File Segment Definition,File Name,Definition
FILE-HEADER-RECORD-IP,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",CIP - CLAIM INPATIENT,Inpatient hospital facility claims and managed care encounter records.
CLAIM-HEADER-RECORD-IP,A record segment to capture data about an acute care inpatient facility claim or encounter that applies to the claim in its totality. ,CIP - CLAIM INPATIENT,Inpatient hospital facility claims and managed care encounter records.
CLAIM-LINE-RECORD-IP,A record segment to capture data about specific goods or services rendered to a Medicaid/CHIP enrollee during the hospital stay.,CIP - CLAIM INPATIENT,Inpatient hospital facility claims and managed care encounter records.
CLAIM-DX-IP,A record segment to capture data about the diagnosis code(s) associated with a claim.,CIP - CLAIM INPATIENT,Inpatient hospital facility claims and managed care encounter records.
FILE-HEADER-RECORD-LT,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",CLT - CLAIM LONG-TERM CARE,Institutional long-term care facility claims and managed care encounter records
CLAIM-HEADER-RECORD-LT,A record segment to capture data about an inpatient long-term care facility claim or encounter that applies to the claim in its totality. ,CLT - CLAIM LONG-TERM CARE,Institutional long-term care facility claims and managed care encounter records
CLAIM-LINE-RECORD-LT,A record segment to capture data about specific goods or services rendered to a Medicaid/CHIP enrollee during a long-term care stay.,CLT - CLAIM LONG-TERM CARE,Institutional long-term care facility claims and managed care encounter records
CLAIM-DX-LT,A record segment to capture data about the diagnosis code(s) associated with a claim.,CLT - CLAIM LONG-TERM CARE,Institutional long-term care facility claims and managed care encounter records
FILE-HEADER-RECORD-OT,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",COT - CLAIM OTHER,"Professional, Dental, Outpatient Institutional claims and encounter, capitation payments and other financial transactions."
CLAIM-HEADER-RECORD-OT,"A record segment to capture data about another type of claim or encounter (besides IP, LT, and RX) that applies to the claim in its totality. ",COT - CLAIM OTHER,"Professional, Dental, Outpatient Institutional claims and encounter, capitation payments and other financial transactions."
CLAIM-LINE-RECORD-OT,A record segment to capture data about specific goods or services rendered to a Medicaid/CHIP enrollee during an outpatient visit.,COT - CLAIM OTHER,"Professional, Dental, Outpatient Institutional claims and encounter, capitation payments and other financial transactions."
CLAIM-DX-OT,A record segment to capture data about the diagnosis code(s) associated with a claim.,COT - CLAIM OTHER,"Professional, Dental, Outpatient Institutional claims and encounter, capitation payments and other financial transactions."
FILE-HEADER-RECORD-RX,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",CRX - CLAIM PHARMACY,Pharmacy claims and managed care encounter records.
CLAIM-HEADER-RECORD-RX,A record segment to capture data about a pharmacy claim or encounter that applies to the claim in its totality. ,CRX - CLAIM PHARMACY,Pharmacy claims and managed care encounter records.
CLAIM-LINE-RECORD-RX,A record segment to capture data about specific prescription goods or services rendered to a Medicaid/CHIP enrollee.,CRX - CLAIM PHARMACY,Pharmacy claims and managed care encounter records.
CLAIM-DX-RX,A record segment to capture data about the diagnosis code(s) associated with a claim.,CRX - CLAIM PHARMACY,Pharmacy claims and managed care encounter records.
FILE-HEADER-RECORD-ELIGIBILITY,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
PRIMARY-DEMOGRAPHICS-ELIGIBILITY,A record segment to capture basic demographic information about the individual.  ,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
VARIABLE-DEMOGRAPHICS-ELIGIBILITY,A record segment to capture additional demographic information that is more prone to periodic changes than primary demographics.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
ELIGIBLE-CONTACT-INFORMATION,A record segment to capture addresses and phone numbers of the individual.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
ELIGIBILITY-DETERMINANTS,"A record segment to capture factors that influence an individual’s eligibility for basic Medicaid/CHIP, as well as the various waivers and demonstrations.",ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,A record segment to capture the eligible person's participation in the state's health home initiative.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
HEALTH-HOME-SPA-PROVIDERS,"A record segment to capture the identity of the health home entity in which the eligible person is enrolled, as well as the identity of the provider with primary responsibility for coordinating the delivery of health home services.",ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
HEALTH-HOME-CHRONIC-CONDITIONS,A record segment to capture an eligible person's chronic conditions that qualified him/her for participation in the health home initiative.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
LOCK-IN-INFORMATION,"A record segment to capture the provider, or providers, to whom the eligible person is restricted, as well as the time periods during which the lock-in provisions are in force. ",ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
MFP-INFORMATION,A record segment to capture information about an eligible person's participation in the Money Follows the Person demonstration program.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
STATE-PLAN-OPTION-PARTICIPATION,A record segment to capture the identity of the State Plan Options in which an eligible person is enrolled.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
WAIVER-PARTICIPATION,A record segment to capture the identity of the waivers in which an eligible person is enrolled.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
LTSS-PARTICIPATION,A record segment to capture the level of care an eligible person receives at various points in time while in a long-term care facility.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
MANAGED-CARE-PARTICIPATION,A record segment to capture information about an eligible person's enrollment in a managed care plan. ,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
ETHNICITY-INFORMATION,A record segment to capture information about an eligible person's ethnicity.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
RACE-INFORMATION,A record segment to capture information about an eligible person's race.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
DISABILITY-INFORMATION,A record segment to capture information about an eligible person's disabilities.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
1115A-DEMONSTRATION-INFORMATION,A record segment to capture an eligible person's 1115A participation. ,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
HCBS-CHRONIC-CONDITIONS-NON-HEALTH-HOME,A record segment to capture an eligible person's chronic conditions for which an eligible person is receiving home and community-based care.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
ENROLLMENT-TIME-SPAN-SEGMENT,A record segment to capture the eligible person's type of enrollment and time spans of enrollment.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
ELG-IDENTIFIERS,A record segment to capture the identifiers assigned to a beneficiary by various entities.,ELG - ELIGIBLE,Enhanced information about beneficiary enrollment and eligibility including person level demographic and eligibility data.
FILE-HEADER-RECORD-FTX,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",FTX - FINANCIAL TRANSACTION,Information about financial transactions.
INDIVIDUAL-CAPITATION-PMPM,A record segment to capture individual capitation payments and sub-capitation payments. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
INDIVIDUAL-HEALTH-INSURANCE-PREMIUM-PAYMENT,A record segment to capture individual health insurance premium payments made by Medicaid or CHIP. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
GROUP-INSURANCE-PREMIUM-PAYMENT,A record segment to capture group insurance premium payments made by Medicaid or CHIP. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
COST-SHARING-OFFSET,A record segment to capture cost sharing offsets. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
VALUE-BASED-PAYMENT,A record segment to capture value-based payments. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
STATE-DIRECTED-PAYMENT-SEPARATE-PAYMENT-TERM,A record segment to capture state directed payments which are made under separate payment terms.,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
COST-SETTLEMENT-PAYMENT,A record segment to capture cost settlement payments. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
FQHC-WRAP-PAYMENT,A record segment to capture FQHC wrap payments. ,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
MISCELLANEOUS-PAYMENT,A record segment to capture any other miscellaneous payment transaction that is not explicitly excluded from T-MSIS reporting or does not meet the definition of and was therefore not mapped to any other specific transaction type must be reported to this financial transaction segment type.,FTX - FINANCIAL TRANSACTION,Information about financial transactions.
FILE-HEADER-RECORD-MANAGED-CARE,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED-CARE-MAIN,"A record segment to capture basic, generally static information about a managed care entity.",MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED-CARE-LOCATION-AND-CONTACT-INFO,"A record segment to capture addresses, phone numbers, fax numbers, and email addresses of the managed care organization.",MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED-CARE-SERVICE-AREA,"A record segment to capture the zip codes, counties, or other geographic descriptors that define the managed care entity’s service area.",MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED-CARE-OPERATING-AUTHORITY,"A record segment to capture information about the operating authority, waivers, and demonstrations under which a managed care entity is contracted with the state.  ",MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED-CARE-PLAN-POPULATION-ENROLLED,A record segment to capture the identity of the Medicaid/CHIP eligibility groups that the managed care entity is authorized to enroll.,MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED- CARE-ACCREDITATION-ORGANIZATION,A record segment to capture information concerning the accreditations that the managed care entity has.,MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
MANAGED-CARE-ID,A record segment to capture information concerning the ID(s) associated with a managed care plan.,MCR - MANAGED CARE PLAN INFORMATION,Managed Care Organizations (MCO) plan level participation and characteristics data.
FILE-HEADER-RECORD-PROVIDER,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-ATTRIBUTES-MAIN,"A record segment to capture basic, generally static information about each provider.  A provider is an individual person (medical or non-medical), a group of individuals, or an organization (e.g., institution, facility, agency, hospital, nursing facility, home health agency, school, or transportation organization) that delivers or facilitates health-related treatments, health care services, or living supports.",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-LOCATION-AND-CONTACT-INFO,"A record segment to capture addresses, phone numbers, and email addresses of the provider. Each PROV-LOCATION-AND-CONTACT-INFO record segment represents the set of contact information for a single provider location.  The state can enter as many sets of contact information (i.e., multiple PROV-LOCATION-AND-CONTACT-INFO record segments) as it considers necessary.  The value selected for the ADDR-TYPE field describes the type of contact information on that specific record (e.g., provider service location, provider billing address, etc.).  The PROV-LOCATION-ID differentiates one PROV-LOCATION-AND-CONTACT-INFO record segment from another when the ADDR-TYPE value on both records is the same.",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-LICENSING-INFO,A record segment to capture licensing and accreditation information relevant to the provider.,PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-IDENTIFIERS,"A record segment to capture the identifiers assigned to the provider entity by various governmental, professional, and payer entities.",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-TAXONOMY-CLASSIFICATION,"A record segment to classify the provider into areas of specialty, as well as the authorized categories of service for which the provider entity has been authorized by the state to render to Medicaid/CHIP eligibles.",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-MEDICAID-ENROLLMENT,"A record segment to capture the provider’s periods of participation in the state's Medicaid/CHIP programs, and the reason for a change in enrollment status.",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-AFFILIATED-GROUPS,A record segment to capture a provider’s relationship(s) with other provider(s).,PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-AFFILIATED-PROGRAMS,"A record segment to capture the Medicaid/CHIP health plans, waivers, health home entities, etc. that the provider entity is associated with. ",PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
PROV-BED-TYPE-INFO,A record segment to capture the number of beds available for various categories of bed at provider entities that are facilities.,PRV - PROVIDER,Provider enrollment with Medicaid and MCOs including demographics and characteristics data.
FILE-HEADER-RECORD-TPL,"A record segment containing metadata necessary to identify the file itself, when it was created and the number of records it contains.",TPL - THIRD-PARTY LIABILITY,Beneficiary level third-party liability (TPL) data and insurance carrier level data.
TPL-MEDICAID-ELIGIBLE-PERSON-MAIN,"A record segment to capture basic, generally static information to identify Medicaid/CHIP enrollees for whom third party funds may be available to offset some or all their Medicaid/CHIP costs.",TPL - THIRD-PARTY LIABILITY,Beneficiary level third-party liability (TPL) data and insurance carrier level data.
TPL-MEDICAID-ELIGIBLE-PERSON-HEALTH-INSURANCE-COVERAGE-INFO,A record segment to capture insurance policy information needed to facilitate pursuit of the third-party liability.,TPL - THIRD-PARTY LIABILITY,Beneficiary level third-party liability (TPL) data and insurance carrier level data.
