Changes_from_v4_x.x_Update_to_v4.0.0,New_Row_Number,File_Segment_Number,File_Segment_Name,System_Data_Element_Number,Data_Element_Number,Data_Element_Name_Computing,Pipe_Separated_Value_Segment_Data_Element_Order,Size,Fixed_Length_Field_Start_Position,Fixed_Length_Field_Stop_Position,Notes-Changesfromv4.x.xUpdatetov4.0.0,file_name
NONE,1,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.001,CIP001,RECORD-ID,1,X(8),1,8,,CLAIMIP
NONE,2,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.002,CIP002,DATA-DICTIONARY-VERSION,2,X(10),9,18,,CLAIMIP
NONE,3,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.003,CIP003,SUBMISSION-TRANSACTION-TYPE,3,X(1),19,19,,CLAIMIP
NONE,4,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.004,CIP004,FILE-ENCODING-SPECIFICATION,4,X(3),20,22,,CLAIMIP
NONE,5,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.005,CIP005,DATA-MAPPING-DOCUMENT-VERSION,5,X(9),23,31,,CLAIMIP
NONE,6,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.006,CIP006,FILE-NAME,6,X(8),32,39,,CLAIMIP
NONE,7,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.007,CIP007,SUBMITTING-STATE,7,X(2),40,41,,CLAIMIP
NONE,8,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.008,CIP008,DATE-FILE-CREATED,8,9(8),42,49,,CLAIMIP
NONE,9,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.009,CIP009,START-OF-TIME-PERIOD,9,9(8),50,57,,CLAIMIP
NONE,10,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.010,CIP010,END-OF-TIME-PERIOD,10,9(8),58,65,,CLAIMIP
NONE,11,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.011,CIP011,FILE-STATUS-INDICATOR,11,X(1),66,66,,CLAIMIP
NONE,12,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.012,CIP012,SSN-INDICATOR,12,X(1),67,67,,CLAIMIP
NONE,13,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.013,CIP013,TOT-REC-CNT,13,9(11),68,78,,CLAIMIP
NONE,14,CIP00001,FILE-HEADER-RECORD-IP,CIP.001.275,CIP275,SEQUENCE-NUMBER,14,X(4),79,82,,CLAIMIP
